…………あの？　どうかしたんですか？= …………那？怎么了？
…………違うことが、したくなったんですか？= …………您想做些不同的事情吗？
……あ、垂れて来てますね……= ……啊，垂死了……
……あれ？　今は何待ちですか？= ……那？你还在等什么？
……このまま放っておかれるのは、少し辛いです……= ……就这样一个人呆着有点痛苦……
……こへいじょうは……うおへまへんはら……\n（……これ以上は……動けませんから）= ……平城……对不起……\n
……すごい量ですね= …… 数额巨大 
……まだしなくていいんですか？= ……我还要做吗？
……まだ収まりません= ……还是不合适
……やっぱり、止めるんですか？= ……你要停下来吗？
……アナタとイケて……良かったと思います……= ……我觉得和你在一起很酷……
……アナタはイッてないんですね……= ……你不是高潮……
……オナニー、気持ちいいです……= ……自慰，感觉不错……
……今、何をしてるんですか？= ……你在干什么？
……全身があたたかくて……このまま寝てしまいそうです……= ……全身暖暖的……感觉要这样睡了……
……危険性を考えたら、止めた方が良いとは思います= …… 考虑到危险，我觉得还是停下来比较好
……少し量が、多かったみたいです= …… 好像量有点多
……息を吸う度に、あなたの匂いでむせ返りそうです……ふふ= ……每次呼吸都被你的味道呛到……fufu
……放置されてしまっています= ……已经废弃了
……最後まで、しちゃいました……= ……我做到了最后……
……止めるんですか？= ……你要停下来吗？
……熱いのが、溢れてきました……= ……热度要溢出来了……
……私も……感じちゃっていました……= ……我也觉得……
ぁ、気持ちいいです……= 啊，感觉不错……
あ……続けたいんですね、大丈夫ですよ= 哦...你想继续，没关系
あ……続けるんですか？　どうぞ= 啊……还要继续吗？继续
あ、熱いですぅ……体が熱くて……溶けそうですぅ= 啊，好热……我的身体好热……我感觉我要融化了
あぁ……いい感じに、揺れてますね= 啊……好抖
あぁ……もうダメです、イキそうですぅ= 啊……不行了，看来要走了
あぁ……イカされて、しまいます……= 啊……我要当鱿鱼了……
あぁ……垂れてきてます……すごく熱い……= 啊……好滴……好热……
あぁ……手元が、ブレてしまいそうです……= 啊……我的手感觉要抖了…… 
あぁ……熱いのが、垂れて来ています= 啊……热乎乎的要滴
あぁ……硬くて熱いのが、当たってます= 啊……又硬又热的撞到我了
あぁ……私、イキそうになっています……= 啊...我要射了...
あぁ……私また、またいっちゃいそうです……= 啊...我想我会再来... 
あぁ……見られてるのに、私、気持ち良くなってます……= 啊……虽然被人盯着我感觉好多了……
あぁ……見られながら、動きが、止まらないです……= 啊……被人看着就停不下来了……
あぁ、あふれへまふぅ……（溢れてます）= 哦，溢出来了……（溢出来了）
あぁ、お尻、そんなにされたら…んんっ、すごいことにぃ……= 啊，屁股，你要是那样对我……嗯，太厉害了……
